,temp,APC（E2步骤）,source_RF（E2步骤）,LF_RF（E2步骤）,SF6（E2步骤）,C4F8（DEP步骤）,DEP time,etch time,,Zmin_1,Zmin_2,Zmin_3,Zmin_4,Zmin_5,Zmin_6,Zmin_7,Zmin_8,Zmin_9,Zmin_9_2,F_Flux_1,F_Flux_2,F_Flux_3,F_Flux_4,F_Flux_5,F_Flux_6,F_Flux_7,F_Flux_8,F_Flux_9,F_Flux_9_2,Ion_Flux_1,Ion_Flux_2,Ion_Flux_3,Ion_Flux_4,Ion_Flux_5,Ion_Flux_6,Ion_Flux_7,Ion_Flux_8,Ion_Flux_9,Ion_Flux_9_2,h0_1,h0_2,h0_3,h0_4,h0_5,h0_6,h0_7,h0_8,h0_9,h1_1,h1_2,h1_3,h1_4,h1_5,h1_6,h1_7,h1_8,h1_9,d0_1,d0_2,d0_3,d0_4,d0_5,d0_6,d0_7,d0_8,d0_9,d1_1,d1_2,d1_3,d1_4,d1_5,d1_6,d1_7,d1_8,d1_9,w1,w2,w3,w4,w5,w6,w7,w8,w9
cas140,-20,90,2800,60,400,450,2,0.4,case140,-0.145525623,-0.295196167,-0.441077639,-0.570001684,-0.705028098,-0.836126291,-0.968427078,-1.092651486,-1.216623174,-1.231419878,0.20699972,0.189741388,0.178452173,0,0.167968817,0.164545421,0.154603155,0.151015776,0.145803033,0.138083088,0.005843475,0.006047389,0.00596129,0,0.005765378,0.005766717,0.00586088,0.005544472,0.005494242,0.0055736,-0.137326377,0.148373872,0.13153914,0.132109817,0.135819129,0.131253804,0.117557773,0.12326444,0.174175526,-0.137897047,0.091592329,0.160357912,0.159501919,0.129256461,0.133536467,0.120370354,0.125587838,0.173319553,0.066763702,0.059589075,0.04812366,0.041130769,0.042967461,0.038575362,0.031645353,0.034415706,0.029527671,0.068373091,0.060813253,0.021795212,0.029246679,0.042356544,0.038908981,0.032285179,0.036362811,0.026737078,0.372537472,0.357803006,0.343382152,0.32937695,0.331655187,0.32554013,0.309488868,0.315231468,0.302569051
cas141,15,45,3000,65,200,450,3.6,0.8,case141,-0.142469524,-0.284146634,-0.415104372,-0.548620073,-0.675241119,-0.799486524,-0.917808931,-1.029898792,-1.13649463,-1.143502626,0.105724032,0.098045499,0.092848055,0.087925968,0.085289168,0.080555416,0.07919798,0.076368414,0.073513192,0.071698116,0.020538111,0.020592561,0.020476021,0.019963278,0.019610013,0.019104778,0.018955227,0.018196175,0.017420266,0.017390962,-0.145601075,0.126403121,0.131924574,0.13890163,0.122649865,0.117843091,0.106649825,0.11733767,0.136191776,-0.140750389,0.094731009,0.173483295,0.116416399,0.139243173,0.117557756,0.110995071,0.111565752,0.138759783,0.078018201,0.055067835,0.05419172,0.044781398,0.046303536,0.042439425,0.032489355,0.027599295,0.029978284,0.076953067,0.059382702,0.024403695,0.048106492,0.03772808,0.036340837,0.039148748,0.035303784,0.02805806,0.357253013,0.316732282,0.313889793,0.29662721,0.291264884,0.273605915,0.26189415,0.249816052,0.247237202
cas142,-5,80,3300,130,750,700,4,2.4,case142,-0.45137677,-0.86604037,-1.244912453,-1.604401537,-1.942666679,-2.253756914,-2.53932367,-2.812254897,-3.063806866,-3.070915107,0.116763926,0.095191277,0.085654206,0.07817982,0.074079405,0.069924203,0.066200853,0.064340031,0.06217331,0.061005817,0.00660898,0.006452413,0.006100236,0.0056181,0.004891734,0.004341599,0.003929228,0.003484042,0.003055203,0.003107591,-0.446628826,0.402892096,0.383550831,0.35147047,0.336694547,0.303881083,0.283622367,0.259368931,0.302805955,-0.436356787,0.16116221,0.561589743,0.211718031,0.481999482,0.37000898,0.284211976,0.271334001,0.292533895,0.239431185,0.172757551,0.14463246,0.115814188,0.105038834,0.095475797,0.092678838,0.071040218,0.062722417,0.24066931,0.179647767,0.019490664,0.087826582,0.013474073,0.068596778,0.091551108,0.076932235,0.069658665,0.670765856,0.543070679,0.514298832,0.469307185,0.451961718,0.424251906,0.422732382,0.393007211,0.38760314
cas143,20,60,3200,120,350,400,3.2,3.2,case143,-0.493370866,-0.939526811,-1.360076044,-1.746569352,-2.111100818,-2.457926444,-2.78608524,-3.096407745,-3.39178878,-3.397278351,0.0904238,0.075313665,0.067470238,0.062874519,0.060467964,0.056610766,0.05468562,0.053459651,0.051421082,0.051173701,0.012328364,0.012072165,0.011001301,0.009955078,0.008950064,0.008079884,0.007224423,0.006551532,0.005962062,0.005880416,-0.476303603,0.432992876,0.417303511,0.374073352,0.365798644,0.329561165,0.331895385,0.302973577,0.366376238,-0.47801561,0.258798259,0.580749461,0.389102033,0.358950632,0.340890374,0.331050089,0.301179443,0.358542451,0.26168957,0.217092444,0.176166123,0.15821556,0.142708195,0.128484181,0.117508304,0.121216178,0.104006548,0.260650052,0.216105769,0.076120457,0.158735188,0.125368148,0.133702603,0.130668338,0.125373528,0.108607574,0.778473974,0.689332564,0.648960867,0.612754502,0.599024555,0.580048388,0.511441307,0.579258384,0.563544399
cas144,10,65,1600,145,750,550,0.4,3.2,case144,-0.508117007,-0.966760539,-1.400785684,-1.814992533,-2.204374075,-2.578839319,-2.934219462,-3.279222854,-3.609486035,-3.616068687,0.085488237,0.072863855,0.068312471,0,0.061477178,0.058169675,0.057213869,0.056171813,0.053776033,0.053593849,0.003620045,0.003625698,0.003551697,0,0.003131074,0.002982648,0.002770228,0.002538249,0.002355122,0.002375097,-0.467172895,0.433993561,0.415446826,0.399182779,0.369793313,0.364942653,0.34496917,0.31215586,0.508411629,-0.459754203,0.428572186,0.43171089,0.385506766,0.367701582,0.351891654,0.346110582,0.33583859,0.508982233,0.241416699,0.210018,0.173236113,0.149041984,0.13819439,0.123505608,0.111609581,0.106980993,0.095489949,0.236526397,0.201040005,0.167902473,0.146795706,0.136383662,0.108673414,0.103712606,0.089348345,0.086801926,0.799024252,0.732139161,0.714892139,0.696171752,0.698887661,0.700252713,0.706919863,0.712743726,0.732540444
cas145,0,50,2700,70,150,200,0.4,0.4,case145,-0.127452381,-0.246953681,-0.367554701,-0.484868174,-0.60096213,-0.716790523,-0.83095219,-0.945832702,-1.056150981,-1.065378559,0.122863258,0.115442308,0.113309623,0.110412376,0.107761801,0.106624455,0.105264319,0.102190972,0.098691764,0,0.020073486,0.020097207,0.020133188,0.019835303,0.01988065,0.019620686,0.019583443,0.01907984,0.018590233,0,-0.107988818,0.117220537,0.10614439,0.111280394,0.116701756,0.110995063,0.113277733,0.104432378,0.177337489,-0.106510267,0.112992404,0.111565739,0.112443903,0.116451315,0.113791347,0.110424382,0.110995071,0.170204133,0.042054127,0.040119376,0.029745745,0.030203948,0.030886654,0.025937229,0.022938318,0.02435701,0.018646593,0.039541708,0.038773562,0.025967063,0.028543378,0.029883875,0.025911582,0.025531619,0.019606103,0.017737261,0.365339147,0.362636249,0.346710479,0.348704983,0.354014869,0.349553779,0.348635101,0.345665343,0.338258636
cas146,5,10,600,70,350,100,3.6,2.8,case146,-0.183302299,-0.368879605,-0.54711787,-0.716142808,-0.880128746,-1.046986588,-1.207100515,-1.363074269,-1.515217415,-1.517443001,0.019215183,0.017830874,0.016686458,0.015580076,0.014853776,0.014065122,0.013213095,0.01251957,0.011827454,0.011878164,0.001707065,0.001662877,0.00169692,0.001661523,0.00167827,0.001645111,0.001642721,0.001646945,0.001577057,0.001600796,-0.160723797,0.162640589,0.162069904,0.148659208,0.148088532,0.162343843,0.202313474,0.214938607,0.155665048,-0.159011785,0.166349943,0.154651212,0.146466634,0.161409131,0.167491283,0.207723388,0.196761472,0.157578153,0.05001808,0.039833414,0.028842083,0.024563228,0.023478828,0.020905858,0.020579341,0.017144894,-0.001322252,0.050084446,0.040471926,0.033526825,0.023815715,0.020182957,0.017639799,0.009061843,0.007673218,-0.001142066,0.367967404,0.348170219,0.339712836,0.333169728,0.337883504,0.29271451,0.301097742,0.342478579,0.280547596
cas147,15,20,2100,140,650,200,0.8,4,case147,-0.373239399,-0.721334474,-1.051371991,-1.36937591,-1.668442976,-1.960113427,-2.232533718,-2.493707435,-2.750832736,-2.754949203,0.032781895,0.027696092,0.026104171,0,0.023006045,0.021945459,0.02112708,0.020270135,0.019397512,0.019512659,0.005825634,0.00581429,0.005678033,0,0.005282211,0.005003462,0.004735045,0.004461081,0.004231979,0.004241132,-0.301678977,0.297603714,0.301780002,0.290574142,0.26479028,0.427716204,0.321286508,0.285546167,0.26397321,-0.303961643,0.309684796,0.292941374,0.286190331,0.271923678,0.330702492,0.372361405,0.323259762,0.263923721,0.106145194,0.092177883,0.06921021,0.049591628,0.038978325,0.037649787,0.033713261,0.025439097,-0.001046364,0.109158083,0.092051748,0.073513953,0.055537088,0.038065547,0.036132465,0.00243131,0.008197209,-0.000249132,0.519610005,0.488536359,0.479661174,0.471749179,0.469296493,0.494393016,0.50747449,0.506123782,0.43085845
cas148,-10,35,700,90,550,450,2,3.2,case148,-0.313145804,-0.60769007,-0.883503744,-1.153829741,-1.411878228,-1.654300349,-1.889299332,-2.119065046,-2.33530936,-2.339234466,0.053726618,0.047364679,0.042866636,0.04027027,0.037137294,0.036282001,0.035012643,0.033510286,0.032548166,0.032819288,0.001889347,0.001927693,0.001849447,0.001826074,0.001777243,0.001766461,0.001631445,0.001611919,0.001561862,0.00153299,-0.292262942,0.283638192,0.267057112,0.259879538,0.23859959,0.235115494,0.219136817,0.216885839,0.326658941,-0.299681634,0.192600689,0.349249252,0.249952904,0.244531546,0.235686149,0.222433993,0.214983617,0.330114682,0.147456505,0.125946726,0.103555418,0.083658832,0.077199119,0.071607032,0.062769962,0.052018552,0.044893349,0.149169415,0.123083958,0.05931849,0.085374102,0.073344108,0.06305605,0.065518253,0.057696657,0.046738224,0.551067629,0.503472392,0.481996391,0.45846082,0.451799684,0.448611175,0.453853846,0.452324546,0.447829449
cas149,0,25,900,130,150,800,0.8,0.4,case149,-0.092307861,-0.179835718,-0.272616555,-0.359341734,-0.443844128,-0.52956367,-0.614206624,-0.695765527,-0.776518779,-0.782206275,0.062163785,0,0.055549385,0.054200381,0.053233257,0.050633384,0.049844944,0.048253695,0.04762696,0,0.003188212,0,0.003112143,0.003132415,0.003139758,0.003145339,0.003136582,0.003106062,0.00315456,0,-0.080259504,0.078752286,0.091021661,0.081890958,0.082746966,0.084744296,0.068194926,0.094730999,0.119864681,-0.079118167,0.081034958,0.082176298,0.089024327,0.079608283,0.080178946,0.082176294,0.093304345,0.115584658,0.030727081,0.020544829,0.018257912,0.014628846,0.01389936,0.012018155,0.009703281,0.010735887,0.005658952,0.030097431,0.026740295,0.023577253,0.017025263,0.01479247,0.011437713,0.011090249,0.009670941,0.005389586,0.300025559,0.286486171,0.282427785,0.274678644,0.271587423,0.266106185,0.261729323,0.260307335,0.246794813
cas150,10,80,1100,85,500,800,3.2,2,case150,-0.35127293,-0.678066377,-0.98668544,-1.272686958,-1.543873536,-1.799083723,-2.040365288,-2.265338175,-2.475572382,-2.482627852,0.123540777,0.104045225,0.093430546,0.086240658,0.079859241,0.076223775,0.072676299,0.069274343,0.066335957,0.065582691,0.002799222,0.002819825,0.002698111,0.002681988,0.002477194,0.002263159,0.002121344,0.001866501,0.001692479,0.001671177,-0.345049798,0.322142482,0.30701977,0.286735501,0.262818473,0.255088908,0.23514797,0.229091065,0.239533885,-0.349900476,0.118413755,0.321563031,0.460253085,0.270496981,0.255374244,0.239395601,0.218566145,0.248664533,0.202631867,0.152655622,0.128077287,0.107366666,0.09246706,0.082835107,0.084169871,0.072142218,0.065634428,0.204748114,0.158710841,0.017701368,0.015523725,0.093254397,0.080678666,0.078378162,0.073477237,0.056289691,0.594309632,0.498296114,0.476644784,0.434747884,0.404483023,0.38476159,0.384396254,0.368245005,0.350278319
cas151,-5,45,1600,100,100,800,2.8,0.8,case151,-0.120903954,-0.247153022,-0.362112763,-0.475383725,-0.586380177,-0.697420604,-0.799601686,-0.902092466,-1.002835178,-1.010108842,0.1063024,0.101432301,0.094381222,0,0.086290723,0.083625173,0.079176329,0.074621959,0.071411368,0.068920409,0.008269593,0.008384257,0.008275391,0,0.008346305,0.008255203,0.007988276,0.007711865,0.007281145,0.007270463,-0.124486334,0.117272422,0.11558325,0.108404228,0.115560412,0.102720363,0.10614436,0.10272038,0.117217094,-0.124200998,0.098440353,0.133754677,0.109635536,0.109568387,0.108427056,0.106395304,0.089914731,0.1297718,0.052367845,0.040808967,0.042412326,0.032204915,0.034026167,0.029011613,0.032986145,0.036620411,0.023466707,0.046403946,0.041366559,0.034675111,0.038646721,0.037062787,0.03329332,0.036203856,0.030888217,0.022432988,0.270945526,0.254349261,0.259446883,0.240735821,0.234332299,0.219405817,0.218574044,0.21011496,0.188755911
cas152,-20,85,2500,35,100,650,0.4,0.4,case152,-0.149902487,-0.287851632,-0.430857141,-0.564153559,-0.696046084,-0.83160907,-0.964918711,-1.0958022,-1.224433022,-1.237673291,0.204028187,0.190482102,0.181951451,0.178880897,0.175262117,0.16934998,0.16536544,0.163671459,0.156161908,0,0.016838396,0.016664691,0.016741572,0.016878337,0.016860411,0.015964106,0.015468456,0.015504191,0.014871312,0,-0.13252135,0.143762863,0.129256457,0.128971125,0.133707677,0.135824203,0.124330257,0.127729058,0.1815703,-0.132761027,0.144488462,0.128576521,0.119555094,0.144664517,0.125832455,0.133536492,0.128115118,0.180143603,0.062503234,0.058490569,0.048644484,0.04458471,0.049602883,0.036108376,0.037972125,0.033596132,0.026264317,0.062475924,0.061963363,0.046838062,0.038842863,0.043506183,0.036491539,0.03549241,0.03369257,0.02619613,0.396695943,0.392170717,0.375380122,0.373357231,0.387337849,0.37268255,0.371742448,0.370668124,0.353462091
cas153,15,70,2500,25,800,100,0.8,0.8,case153,-0.222227615,-0.429551731,-0.629018817,-0.818988521,-1.007154239,-1.189635469,-1.37410063,-1.552425018,-1.723260398,-1.733984585,0.13532731,0.123454722,0.1202046,0.115121866,0.111833719,0.107531739,0.104215686,0.100899197,0.098802637,0.097688037,0.005325355,0.005222329,0.005104933,0.00523436,0.005189519,0.00482034,0.004825196,0.004834547,0.004597574,0.004554673,-0.201241276,0.189130251,0.189793774,0.179189963,0.176907318,0.173768614,0.174339311,0.166635258,0.28297882,-0.19325191,0.197166045,0.186894012,0.18090197,0.175195311,0.181187289,0.177444441,0.159250106,0.282693501,0.095080548,0.080155765,0.057065244,0.05233363,0.046861584,0.046446219,0.04166481,0.031625328,0.033509093,0.08726962,0.069717898,0.065503611,0.055806815,0.040366031,0.043713883,0.037865596,0.036177901,0.038968329,0.479771803,0.447295298,0.438061669,0.440543095,0.431710221,0.389778365,0.441916789,0.432468057,0.437753388
cas154,-15,20,800,125,350,400,4,2.4,case154,-0.19724231,-0.393919782,-0.579336406,-0.757907204,-0.933694788,-1.104410142,-1.264795321,-1.419744542,-1.568164051,-1.57201612,0.037831366,0.034693353,0.032425347,0.030750547,0.028624225,0.026523124,0.024945022,0.024097181,0.022831606,0.022815428,0.002279324,0.002288239,0.002342074,0.002362369,0.002303728,0.002234725,0.002208003,0.002129266,0.002043193,0.002058174,-0.192966576,0.175480642,0.184325993,0.162355244,0.162925908,0.152939251,0.15408051,0.145805853,0.241136142,-0.187545223,0.155507237,0.20087538,0.169773945,0.158645894,0.160928607,0.154080527,0.155507224,0.229152084,0.082455565,0.058899945,0.050948443,0.043028145,0.036073682,0.03235507,0.036266993,0.025437948,0.019046096,0.080251728,0.062206981,0.024081883,0.042839875,0.036486492,0.03266108,0.029062922,0.024848982,0.022767249,0.37628917,0.334688803,0.289333794,0.315015758,0.306319417,0.301996891,0.306445562,0.293917339,0.28739081
cas155,20,70,2800,130,600,750,2.4,1.2,case155,-0.24908655,-0.485669692,-0.712180919,-0.935573688,-1.139894093,-1.341580273,-1.530550869,-1.713422055,-1.891586596,-1.900441232,0.132547089,0.114969644,0.107715685,0,0.093688929,0.089340153,0.084105702,0.081806644,0.079092687,0.076704818,0.005921096,0.005889005,0.005763194,0,0.005633072,0.005315271,0.004995848,0.004625133,0.004376709,0.004300444,-0.243470762,0.237398177,0.219136779,0.215274598,0.200172246,0.190603341,0.188320688,0.179475324,0.226589316,-0.241188083,0.093821513,0.295374551,0.236542191,0.243104875,0.192600693,0.188606007,0.179189954,0.230013365,0.128169185,0.103738014,0.088039504,0.069694616,0.063516589,0.055041655,0.05157737,0.047998512,0.041076006,0.128207476,0.099943716,0.012014817,0.037951863,0.042123734,0.051388483,0.046065341,0.047604335,0.032851219,0.46224115,0.409546218,0.395666336,0.366691589,0.352946865,0.334618171,0.324925288,0.322011431,0.306100593
cas156,-5,20,1900,125,200,300,0.8,3.6,case156,-0.3321484,-0.6510224,-0.944204775,-1.231499459,-1.505623127,-1.768294671,-2.013486811,-2.249756506,-2.487410071,-2.491190715,0.036325774,0.031181044,0.029296796,0.027758459,0.025999739,0.025095001,0.023939281,0.023246371,0.022034644,0.02212946,0.008097978,0.008124035,0.007982778,0.007804615,0.007326722,0.006941533,0.006689718,0.006232149,0.005843152,0.00587769,-0.280278891,0.283622337,0.275347676,0.25908362,0.254518236,0.238539491,0.291310753,0.36072232,0.247767389,-0.282561575,0.279342328,0.271923636,0.265360977,0.245672873,0.263934255,0.283622367,0.314153126,0.284619579,0.108179208,0.090104518,0.070032208,0.058823103,0.050934729,0.042790829,0.038134884,0.030069149,0.000175365,0.109477721,0.091420307,0.072451314,0.059762681,0.046262644,0.036600436,0.024913905,0.016905398,-0.000201207,0.509994155,0.473862051,0.462086513,0.464068637,0.464611389,0.464419196,0.412969566,0.482612558,0.430342692
cas157,-15,50,900,60,700,350,0.8,0.4,case157,-0.122021082,-0.242370072,-0.36167168,-0.471127629,-0.580195269,-0.687316916,-0.796537199,-0.901961315,-1.007366887,-1.016151914,0.101683107,0,0.093134066,0.092064481,0.088787344,0.087604396,0.0834074,0.083120386,0.079873721,0,0.002189827,0,0.002252361,0.002271206,0.002238138,0.00221488,0.002177278,0.002270652,0.002202338,0,-0.103086254,0.1129924,0.106922573,0.106507531,0.111280403,0.104432387,0.100958884,0.115497913,0.154473569,-0.103942257,0.116701751,0.103291037,0.108997728,0.108427061,0.107571057,0.098440358,0.103576345,0.165204321,0.041014439,0.033632253,0.029459218,0.024822908,0.027107603,0.022593426,0.020992554,0.020284825,0.013061291,0.039916569,0.033989806,0.033196522,0.027053658,0.023536663,0.020929243,0.0200524,0.018132948,0.01533235,0.353033851,0.339724901,0.336359979,0.330231534,0.3332739,0.328230463,0.284287297,0.324446231,0.314816852
cas158,-5,90,700,110,150,200,0.4,1.6,case158,-0.371971321,-0.719256352,-1.058285479,-1.372802735,-1.683242274,-1.981419517,-2.273578176,-2.553634967,-2.821673572,-2.831340304,0.144835311,0.127332645,0.11955008,0.11641352,0.113021754,0.109168425,0.10585332,0.104079443,0.100607536,0.098183868,0.00215298,0.002222476,0.002138874,0.002087647,0.002012114,0.00197949,0.00188712,0.001704076,0.001653477,0.001626809,-0.350960263,0.329072058,0.312441145,0.318279982,0.304319586,0.282120824,0.272854515,0.279342277,0.381949654,-0.349615135,0.336694543,0.307019779,0.309615714,0.313554525,0.265075633,0.300742371,0.267301287,0.381721318,0.194100149,0.174112095,0.14692718,0.12378472,0.107316144,0.1054611,0.092893771,0.092091903,0.079359326,0.192636895,0.169695059,0.14888798,0.127110299,0.110916495,0.107335131,0.088882941,0.085068784,0.083359603,0.709912617,0.666982727,0.64888893,0.644836921,0.64557931,0.643040537,0.655045193,0.649626244,0.641272846
cas159,5,55,1300,60,200,600,2.8,2,case159,-0.301437855,-0.591384647,-0.857485075,-1.111168265,-1.352948713,-1.587780788,-1.805552607,-2.017494301,-2.216839109,-2.223113409,0.098174567,0.082989539,0.077582716,0,0.066934058,0.063573558,0.061625569,0.059240601,0.058239888,0.056546274,0.003608465,0.003635015,0.003606824,0,0.00335139,0.003119621,0.002863535,0.002719174,0.002502643,0.002462295,-0.292833605,0.283907724,0.260224896,0.24538752,0.244368519,0.225247979,0.216327344,0.206894551,0.247921271,-0.295972283,0.080953449,0.461181828,0.244975814,0.246084639,0.218851447,0.225613202,0.197978599,0.251502148,0.163577005,0.129030021,0.109680663,0.093320587,0.083472953,0.073698322,0.073275517,0.064763392,0.050118631,0.164106755,0.135319032,-0.000888305,0.095597502,0.082487071,0.073864004,0.069508007,0.058555838,0.056834992,0.544032249,0.480697542,0.462179605,0.427874749,0.41081108,0.392613607,0.385345851,0.381270548,0.365061774
cas160,15,90,2600,35,450,600,4,1.2,case160,-0.272589131,-0.538880531,-0.781549645,-1.020150408,-1.244491643,-1.449983358,-1.640489504,-1.823508353,-1.99283586,-2.00226092,0.164070126,0.140105208,0.12934604,0.117768015,0.10863397,0.103815989,0.096866894,0.092412297,0.089507568,0.085854732,0.005448255,0.005473064,0.005387942,0.005044403,0.004764075,0.004491049,0.004238946,0.003705564,0.003273824,0.003228372,-0.276284218,0.253662229,0.244531555,0.234830175,0.227126164,0.202016711,0.192886046,0.178904619,0.192019204,-0.27999356,0.062471449,0.336219362,0.287252971,0.266979166,0.202110529,0.180045979,0.145952582,0.241235321,0.163059879,0.11672894,0.103889316,0.088441911,0.077658907,0.071382386,0.074949582,0.069146886,0.0662199,0.163411801,0.125003386,-0.000183878,0.035818345,0.058618166,0.08203102,0.078640715,0.068465174,0.031116511,0.505111076,0.420371722,0.410385887,0.367338216,0.34441566,0.329244765,0.322486822,0.305222434,0.288743834
cas161,-5,85,1600,60,400,150,0.4,0.4,case161,-0.157017296,-0.303726299,-0.454663773,-0.597556427,-0.736145026,-0.879558297,-1.02082998,-1.159020096,-1.299952618,-1.314085212,0.182736235,0.173990487,0.164346786,0.160676377,0.156914547,0.154226476,0.153194924,0.151678574,0.145211353,0,0.003892677,0.003899925,0.004030207,0.00375139,0.003756094,0.003805867,0.003717084,0.003727641,0.003718515,0,-0.132761027,0.143308891,0.137745457,0.13759507,0.145741948,0.136389826,0.13924316,0.132965829,0.208334004,-0.135899703,0.143237857,0.137816484,0.13152329,0.146963034,0.147232533,0.127829799,0.138672488,0.204910024,0.058814638,0.059274841,0.036286289,0.038746226,0.041465049,0.036360738,0.032115785,0.028259608,0.025711415,0.056943649,0.05659183,0.038846572,0.038479308,0.038965988,0.039403359,0.032705785,0.03226067,0.023419757,0.400742816,0.4008512,0.381183614,0.377514388,0.392698839,0.390046642,0.383347934,0.38355051,0.372134897
cas162,-15,45,800,135,200,350,3.2,3.6,case162,-0.434303474,-0.839825204,-1.21452664,-1.573056127,-1.916467519,-2.237887314,-2.548433669,-2.842920268,-3.128343266,-3.133000454,0.067544219,0.056988254,0.051426677,0.04973671,0.046257041,0.044488908,0.042769841,0.042050019,0.040252756,0.040110546,0.002521306,0.002548888,0.002397889,0.002338671,0.002222115,0.002025979,0.001982698,0.00183417,0.001613289,0.001666869,-0.405826011,0.38320403,0.357523969,0.360662631,0.329561182,0.304375035,0.288660697,0.308316265,0.394870634,-0.41267404,0.38320403,0.363230688,0.34782253,0.326422538,0.318651199,0.289904254,0.289296627,0.401794548,0.215009212,0.185807559,0.150197614,0.126252374,0.120422298,0.104316249,0.098168676,0.089257289,0.086794245,0.217365329,0.184218368,0.15546081,0.13689695,0.118818647,0.108324146,0.09923413,0.081871445,0.079106712,0.71434355,0.651994936,0.619337873,0.602505748,0.589578862,0.582299235,0.452468219,0.586373849,0.592955914
cas163,-20,25,1500,30,650,800,2.8,4,case163,-0.312190683,-0.608088118,-0.887332007,-1.150517298,-1.402958316,-1.64299153,-1.876133991,-2.088690963,-2.281848048,-2.285230679,0.042153519,0.035640989,0.032326726,0.029811559,0.027832811,0.026355999,0.024730887,0.023389724,0.023092707,0.022501458,0.003763191,0.003785049,0.003711584,0.003601523,0.003423672,0.0032202,0.002915719,0.00269991,0.00247446,0.002490925,-0.294830944,0.287617036,0.26022493,0.253376927,0.24310485,0.224843468,0.215712769,0.214571476,0.290948281,-0.304246983,0.08556529,0.416337831,0.299315768,0.235971485,0.228838171,0.213430115,0.215998088,0.285526949,0.131994326,0.102932741,0.075226606,0.062446868,0.048815755,0.039933855,0.031288828,0.029767403,0.029258309,0.134437047,0.102429898,-0.000196931,0.040847517,0.052475592,0.042700477,0.034121072,0.035187064,0.031398725,0.465785297,0.404716564,0.381914441,0.352617109,0.34153483,0.330771308,0.320057456,0.325087331,0.323332101
cas164,15,60,600,85,500,350,2,2.8,case164,-0.391941641,-0.747709961,-1.088948927,-1.422081428,-1.728133438,-2.034266285,-2.326846752,-2.600738746,-2.870736804,-2.876640387,0.082223126,0.071368249,0.067151989,0,0.0601177,0.058257545,0.054936016,0.05448343,0.052675305,0.052426259,0.001688744,0.001645414,0.001718718,0,0.001509523,0.001530181,0.001399987,0.001323359,0.001262297,0.001276795,-0.362169862,0.349249252,0.320715828,0.315009117,0.308518256,0.280712417,0.286309208,0.262088163,0.391868284,-0.364452532,0.348553325,0.323409106,0.320274217,0.300042663,0.285608734,0.27872232,0.268559933,0.387017556,0.197250653,0.173785952,0.144925961,0.116083363,0.102873606,0.098972263,0.079187211,0.083564068,0.079667546,0.19969742,0.178502523,0.15246431,0.12677439,0.11183616,0.100206057,0.102853483,0.093005055,0.068088365,0.691517405,0.646857807,0.623249918,0.603233048,0.595128869,0.593996621,0.597462044,0.608922406,0.606045596
cas165,10,85,3100,30,350,550,0.4,0.8,case165,-0.235985238,-0.460627325,-0.678457584,-0.884527175,-1.085620871,-1.280094161,-1.471577089,-1.653078118,-1.837778066,-1.849998231,0.170257162,0,0.146304714,0.138304746,0.135664427,0.130977667,0.127710774,0.124627853,0.118423959,0,0.006706083,0,0.006714962,0.006806368,0.006349895,0.006289194,0.006019183,0.005814899,0.005555569,0,-0.214081319,0.221134128,0.203402145,0.204055318,0.189747351,0.206867422,0.164067251,0.192553129,0.254090168,-0.214937321,0.217139444,0.201731397,0.195168691,0.204725759,0.198936241,0.179390243,0.180787819,0.257181316,0.107704012,0.095014623,0.082783431,0.075893958,0.068545979,0.066849379,0.054574298,0.045162096,0.052701703,0.112835921,0.099718231,0.085903623,0.074296289,0.064996047,0.067384162,0.059772209,0.053472052,0.046648493,0.503381938,0.477574859,0.460736294,0.463605787,0.454397147,0.462418285,0.444433517,0.44198527,0.437637419
cas166,15,85,1600,120,250,550,1.6,0.8,case166,-0.221301704,-0.431841362,-0.638087249,-0.825992623,-1.00999294,-1.202049837,-1.376421043,-1.551877162,-1.719017185,-1.731084252,0.169893484,0.153264581,0.14267581,0,0.130641719,0.123791224,0.124062979,0.116941593,0.115134016,0.109657499,0.003942483,0.003998117,0.003873574,0,0.003840432,0.003738784,0.003665841,0.003479069,0.003467498,0.003403532,-0.209230634,0.207723415,0.195068002,0.188421386,0.188320688,0.175195311,0.173296332,0.172788807,0.221039677,-0.209801301,0.12497645,0.274459954,0.186640365,0.184896673,0.185182009,0.170915263,0.166882311,0.227329925,0.113860255,0.094324127,0.081643667,0.070512333,0.06517166,0.065476148,0.05109701,0.051737543,0.042652506,0.113363736,0.094698166,0.033804631,0.069128472,0.06944069,0.063094669,0.052172167,0.059610393,0.040241245,0.471018254,0.432816555,0.420423686,0.402620948,0.401435658,0.394988187,0.371632031,0.384485863,0.36710664
